STE-004.wav,Fluid drips out from a hole until the flow slows to just a few droplets.
Rattling coins.wav,Multiple coins repeatedly clatter and clank in a random fashion.
windup_flashlight.wav,A remote control car is running and then stops and then runs again.
"Striking a Match, Burning, Extinguishing.wav",Someone is opening a matchbox before striking a match into flames and then repeating.
PS3F_FOZ_centro_Mufato_tarde.wav,A small door creaks on its hinges while  people chatter and a cashier scans items in the background.
hurridly getting in the truck.wav,people talk together while a door opens and closes
pan onion cut fry.wav,"A person in a kitchen makes noise working with cupboards and pots, then chops vegetables."
"Heavy metal light switch, flipping.wav",A ping pong ball moves back and forth across the table as people maneuver themselves.
Waterflow_II.wav,Running water rushes constantly as birds sing and chirp.
Plane Flies Overhead In Forest.wav,A ship is sounding its horn and in the background it is raining.
Storm sirens with rain increasing 050627 24 bit.wav,Rain is splashing down on the ground as thunder rumbles in the background.
Half bathroom with more toilet noise.wav,"Static, in the form of white noise, plays from the loudly whirring machine."
driving with sirens.wav,An emergency vehicle siren is blasting while a motor is running.
120124_kitchen salad.wav,A wooden block is knocked over repeatedly as plastic tools are knocked against each other
Distant Hunt With Shots.wav,Birds caw and tweet in the distance and then two loud shots ring out.
Cityscape Birds 100208.wav,Birds are tweeting with highway traffic in the background.
Rain Drops on Copper Ledge.wav,Hail bangs and thumps nonstop onto a hard surface.
gocarts.wav,A car is being driven and its tires squeak when it turns.
lone_cricket_macon_01.wav,A cricket chirps repeatedly in its natural environment.
Playing with coins.wav,A crinkling sound occurs and increases and decreases in frequency.
"Metal pole, rubbing, creaking.wav",A toy is being wound at different rates and intervals to create a rather annoying tone.
Metal_Workshop_4.wav,A circular saw blade is cutting something as music is playing nearby.
spice_grinder.wav,A loud scraping occurs and followed by music and a clink
"Metal Mallet hits cement ground, muffled ring.wav",The nail was hammered in thirteen times with the hammer.
carillon - indoors recording 161005_1010.wav,High pitched bells play a tune followed by a moment of silence before a deeper bell tolls.
111014_quad race002.wav,Engines rev loudly while adults and children speak.
noise nw 1.wav,A man shouts as a train passes by
110719_kelvingrovemus1.wav,A large group of people talks in a crowded hall.
sea organ Zadar Croatia1 edit.wav,The low hum of resonating sounds against a background of conversation.
muezzin.wav,Religious chants over a loud speaker outside with birds chirping.
Shanghai Cricket Market.wav,Crickets are chirping as people are talking in the background.
Grill_Restaurant_002.wav,Multiple women are speaking and discussing among each other.
pedestrian_lights.wav,A loud squeaky truck is travelling by talking women.
No es obligacion.wav,"A big auditorium man speaking, rustling, a kid speaking."
20110212_mercado.03.wav,A chant is being song and a group of men answers.
museum1.wav,A woman is talking with other people in a large room.
numberstation.wav,The monotone voice of a man speaks repeatedly followed by a melody played on a keyboard.
TwoTrainsinPark.wav,"Motor traffic is driving by, people are talking, and a dog is barking in the background."
korea_zugansage.wav,A female voice echoes over the intercom as various people chat.
conversacion.wav,people are chatting indoors with voices echoing continuously
2006-11-26_HerbGrinder_01.wav,Some grinding and some shoveling with a person talking at the end.
outdoors ambient near airport plane hum birds cell mobile phone fail.wav,Some birdsong followed by a jet plane in the far background and a human voice in the foreground.
sale_announcement_campoGrande.wav,Multiple people are having conversations at the same time.
09092401_ChicagoAirport.wav,A man is answering to another man who seems to be taking his prints.
Thai Lottery.wav,"A lady is making announcement while a automobile starts, passes by with a horn and a baby calls"
Douche aan.wav,"A shower is being taken, with a short plane noise in the background, followed by a woman speak."
roswell.wav,A high pitched alert beeps and a male voice announces something.
Small Eatery.wav,People chatter with each other in an open indoor space while light music plays.
parthenon 02.wav,several people talking to one another near a busy street.
tunig.band.02.wav,Several musicians warm up on their instruments as people in the audience talk.